Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],GDP by Country
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564,2995185474.86034,2496174748.60335,2699612458.10056,..,..
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,2159242416.76942,2160364071.19021,2278248953.14058,2430411900.19194,3090734463.27684,3704813885.50548,4278792597.23965,4563482603.5503,5591130217.66965,10248617647.0588,10497908306.3646,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500,18433411267.2553,20072786350.5206,23225912183.4988,19909269064.8473,21046452117.3765,22946583375.5508,25597301190.678,25945194240.4544,25008266159.2479,28408064462.1856,28439052740.8561,..
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,40728950704.6176,66807498696.3502,65173036730.6204,61823494487.0363,67808695573.681,82196206089.7585,100090467581.268,119814667457.855,137143375920.47,156264210926.177,209358834156.329,188033050459.881,196272068576.338,218628940951.675,249000540729.179,252548179964.897,245974558654.043,281791218507.1,290923534700.518,..
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,17075457585.2013,19085633672.6328,23232407814.6908,30730626668.4405,34160444803.7147,60412542585.6814,60644837444.4217,59105284414.6403,62658617565.4759,88078850821.6244,109414157336.77,115552417468.553,112409606609.965,138248216614.801,176991230634.23,177964167947.204,164157842126.821,164791096044.098,178634843165.633,218096916361.973,251374821136.171,264466895451.157,282885978374.285,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,346498737961.635,355222449505.211,398303272764.46,395403906582.001,6.04281843676566
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,340989527.969913,..,373371738.286415,395794538.630775,409220087.102818,452328087.282876,514267869.300758,536080148.097299,551230861.856505,572417440.820162,591122039.601398,622044665.515049,666072101.777505,708633194.726566,768873684.032838,2214679081.25658,2424391785.43897,2604955228.70117,2762581334.22612,2913466732.12507,3088853638.56832,3181071153.6622,3372287461.80812,3515109075.46098,..
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,89527576.6666667,98665191.4814815,109157070.740741,119491932.962963,135161958.518519,151868754.444444,171106184.074074,185137242.962963,201429629.62963,322411111.111111,331759259.259259,333470370.37037,340203703.703704,333196296.296296,343311111.111111,367200000,364255555.555556,390251851.851852,520207407.407407,540737037.037037,576229629.62963,521551851.851852,554770370.37037,611537037.037037,504214814.814815,555266666.666667,612048148.148148,..
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1485500000,1666500000.13887,1987400000,2344800000.1954,2925700001.46285,8267400008.2674,9220600009.2206,11594000004.8308,5044579439.00213,6122127855.10508,5827050248.06501,5374300274.57321,6686593059.93691,7073675544.79021,21672215776.0144,22136579527.4994,24305781111.9057,25601824419.0385,27137441266.3355,21403168127.883,22322387609.8481,35777560474.8106,37879829854.7965,67179956264.9383,71164826719.5026,75704647977.2591,79998045975.5137,85555390385.9812,88941371980.2651,78844655833.2194,94243426487.0833,113641857434.002,8.34096247274629
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,2862504169.99893,2754220263.02528,3185987234.84089,3891755551.94138,6599259420.99605,19929853574.6095,17152483214.3536,16912515183.2783,17149094589.9827,15314143988.0621,13945431882.2271,13051886552.3377,13890828707.6493,15239278100.3502,27981896948.4742,19645272636.3182,18327764882.4412,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,99291124000,106165866000,115049476000,7.1032027620808
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,8042200452.1477,8609283346.08518,9299638055.84281,10098534613.4411,9228963224.60004,27655172413.7931,30966239813.7369,33971188991.6147,39053502251.0732,41253507951.3564,40455616653.5742,34980124929.0176,39756299049.9793,42978914311.3504,84828807556.0803,90710704806.8416,99838543960.0763,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89600665557.4043,107426086956.522,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,7.85054755582741
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1132920000,1186120000,1263720000,1442320000,1665880000,3399189100,3506347800,3661683400,3800368600,3771663200,3958045800,4189880000,4372215300,4817542204,10936669900,11284197000,11784927700,12282533600,12664190300,13243892200,13724810900,14698000000,15999890000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24930080000,29451240000,32488720000,6.45402804157152
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,66331428.5714286,64946954.756798,65429198.238708,81203226.9138345,94159862.7073691,44294647.733479,44442456.94764,50320914.4065688,62118570.0053235,76407395.9710488,93345859.405032,100534656.942699,88265974.7260518,112119411.508746,370687634.697573,621117885.668503,1045998496.43872,1461139022.02954,1806742742.27311,2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,21765453087.479,13185496881.4052,11240808846.6924,12200913887.6428,13097012124.2261,11364133546.2494,10099157995.5789,12269393392.1579,11813908447.8131,9.96609418794427
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,745523074.705326,688918508.948029,706370815.584416,752371683.199361,729321671.445917,870248293.678303,1109054005.43971,1098424709.48675,1211161879.6748,..,..,..,..,..,..,..,..,..,..
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5674080542.88575,5756912265.75809,5686579747.53524,6254649538.98487,7367975887.72723,9874013098.46432,12145911801.2422,14106790200.2239,17022870405.2189,26634083965.0983,22890762090.1508,24072829276.775,26924385103.0662,30624720196.2285,31081901909.2151,31370395572.7653,37191166151.98,38100812958.5196,..
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,112139955.188874,136462096.704851,146736433.958439,221915096.205453,264320939.570152,537568142.050848,555336145.8925,494483241.372298,360079419.480205,449140383.953373,584125996.62743,692026606.934121,696921409.513751,1114694112.47478,1576908808.80611,1547888453.75789,1738093756.88208,1542477308.89408,1432221784.41501,2197598417.83694,2770082791.50412,3178112332.09377,3291329938.16407,4422986447.48958,4063245671.29285,3816019222.86268,4402969225.92165,4666598023.91856,4466214522.19539,3982236726.3678,4748702400.66283,4854167638.37388,7.24585621293144
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,7707678023.04719,8567890825.39512,8096302370.73509,9480840483.09179,9848600869.56522,10527338647.343,10908935748.7923,11476584879.2271,12175166763.285,7818205971.60231,7700833482.00615,8242349955.05111,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,55612228233.5179,64589329344.6937,74296745599.0048,81770886908.5198,84269196152.0333,95912607970.1686,107657734392.446,111261882913.342,126783472501.134,..
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1104744290.25672,1127684827.35686,1067109508.6452,1160268142.36886,1275093662.35235,1501941504.89146,1724770866.79756,1759739599.22694,2017680721.80259,2914012852.34062,2573906035.59584,2813278761.27524,2980057167.73595,3188601035.1907,3275684065.13139,3248670978.10165,3649878680.22811,..,..
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,219878482.173564,247749327.721267,316656759.381132,425950581.259458,558587216.568266,1194060371.35992,1123084823.07278,1178001041.34242,1141168779.51157,1290267529.56847,1177947649.45097,1110009264.06069,1182660000,1337017258.55191,1653146993.93502,1936459986.03795,1678219507.89829,1652462062.63884,1833279985.36741,2300492002.01302,2708078476.63012,2980403464.53066,3076305452.86506,4857103846.72985,4682480303.97469,4930213787.50451,5353468387.56019,5581425890.96651,5481692621.61125,4477030179.83128,4296235427.52339,4943248200.0441,5.98596708554727
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,11357516987.5425,12527405512.9298,14743186119.8738,19472363466.6252,24848821490.4679,52797582336.2526,50973526900.0854,52888800949.7428,55875863392.1719,73531550551.255,91594751792.2359,109058990760.483,119012054870.445,141438345513.917,134038718291.055,135264083658.688,126019543413.334,129533107311.811,140404460203.138,171652458349.411,197479443979.151,204885494686.381,217089269791.764,274862826772.152,234534382384.766,240771351298.84,255647979916.473,275708001767.838,268514916972.544,271886077382.097,296387625263.561,280825957768.484,6.16895249175552
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,148456359985.827,165966615366.402,203494148244.473,264429876252.21,285552373158.756,584877732308.614,559869179791.72,530683779929.445,553138414367.061,771470783218.108,934173305685.911,1018847043277.17,1025211803413.53,1269179616913.63,1503108739159.44,1493151737698.46,1365639660792.16,1377657339291.34,1501409382971.38,1844544792036.86,2119633181634.37,2196945232435.8,2320536221304.7,2855964488590.14,2439188643162.5,2472964344587.23,2595151045197.67,2790956878746.61,2728870246705.83,2639008701648.21,2957879759263.52,2782905325624.52,5.63646096004401
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,254036000.501067,296865513.087657,326433558.247302,431252938.191181,555340843.937727,1235897960.34047,1284180702.78595,1325515441.97513,1448281229.04101,2212028291.39222,2677977168.72512,2723496362.17218,2731683490.22561,3320159522.5334,3903186594.70924,3911602000.29402,3599845481.64557,3573808550.51292,3965405556.55574,4927780605.25455,5564109988.14744,5705052111.28973,5877997996.95253,6151996534.96077,5325846341.7909,5497036486.74487,5833352684.45264,6135116260.64814,6022276207.18983,5731835679.23061,6080359305.28965,..,..
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,323802475.480977,381687073.058558,430508357.723916,722780701.123251,1544216003.9841,3618007844.44919,3391275731.31834,3561451562.23569,3339914759.37269,3403638193.57912,3281797038.6659,3834503378.35525,4186411457.4569,5952293765.84484,4483417313.11823,4662992036.2073,5080483628.30574,5023265411.47748,5335451103.75569,6511903363.53884,7770219003.91662,9582783997.22141,10327598308.5297,18203966900.4404,14383107763.1182,14023890263.875,14929487495.759,16867326389.8696,16874405460.1964,15314577167.8199,20217946921.2063,21071739227.9428,8.02991223521566
